Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Paul Richardson,SEA,WR,42.8,10.5,1.665625,26.65,9,-10.746875,-6.706249999999999
Eric Weems,ATL,WR,47.1,4.7,1.61875,25.9,10,-10.79375,-6.753124999999999
Duron Carter,IND,WR,47.5,4.3,1.61875,25.9,10,-10.79375,-6.753124999999999
DeVier Posey,NYJ,WR,46.0,4.0,1.5625,25.0,9,-10.85,-6.809374999999999
Jamison Crowder,WAS,WR,19.2,29.1,1.509375,24.15,8,-10.903125,-6.862499999999999
Andre Caldwell,DEN,WR,38.6,9.5,1.503125,24.05,7,-10.909374999999999,-6.8687499999999995
Marquess Wilson,CHI,WR,20.3,26.5,1.4625,23.4,7,-10.95,-6.909374999999999
Tre McBride,TEN,WR,43.0,2.9,1.434375,22.95,4,-10.978125,-6.937499999999999
Jacoby Jones,SD,WR,38.1,7.8,1.434375,22.95,10,-10.978125,-6.937499999999999
Devin Street,DAL,WR,23.1,21.5,1.39375,22.3,6,-11.018749999999999,-6.9781249999999995
Jeremy Ross,DET,WR,35.1,9.2,1.384375,22.15,9,-11.028125,-6.987499999999999
Jerome Simpson,MIN,WR,39.5,4.3,1.36875,21.9,5,-11.04375,-7.003124999999999
Dwayne Harris,NYG,WR,33.2,9.0,1.31875,21.1,11,-11.09375,-7.053125
Kenbrell Thompkins,OAK,WR,34.5,7.4,1.309375,20.95,4,-11.103125,-7.062499999999999
Kenny Bell,TB,WR,22.2,14.3,1.140625,18.25,6,-11.271875,-7.231249999999999
Chris Givens,STL,WR,28.3,7.0,1.103125,17.65,6,-11.309375,-7.268749999999999
Ricardo Lockette,SEA,WR,27.5,7.6,1.096875,17.55,9,-11.315624999999999,-7.2749999999999995
Stefon Diggs,MIN,WR,25.7,7.0,1.021875,16.35,5,-11.390625,-7.35
Darrius Heyward Bey,PIT,WR,24.7,4.4,0.909375,14.55,11,-11.503124999999999,-7.4624999999999995
Ty Montgomery,GB,WR,19.1,9.9,0.90625,14.5,7,-11.50625,-7.465624999999999
JJ Nelson,ARI,WR,20.8,7.3,0.878125,14.05,9,-11.534374999999999,-7.4937499999999995
Ryan Grant,WAS,WR,19.8,7.2,0.84375,13.5,8,-11.56875,-7.528124999999999
Jeff Janis,GB,WR,18.9,7.9,0.8375,13.4,7,-11.575,-7.534374999999999
Denarius Moore,CIN,WR,21.6,4.3,0.809375,12.95,6,-11.603125,-7.562499999999999
James Wright ,CIN,WR,20.0,2.8,0.7125,11.4,7,-11.7,-7.659374999999999
Robert Herron,TB,WR,18.5,4.1,0.70625,11.3,6,-11.706249999999999,-7.6656249999999995
Darren Waller,BAL,WR,9.5,7.2,0.521875,8.35,9,-11.890625,-7.85
Chris Hogan,BUF,WR,7.9,6.4,0.446875,7.15,8,-11.965625,-7.924999999999999
