Player,Team,Position,FFtoolbox,ESPN,Pts. Per Game,Total Pts.,Bye Week,Points over Bench,Points over Waiver
Austin Seferian Jenkins,TE,TE,134.30000000000001,129.90000000000001,8.3020833333299997,132.83333333300001,6,-0.43333333334000024,0.81874999999999964
Lions D ST D ST,Def,DEF,116.0,102.0,6.9583333333299997,111.333333333,9,-0.4375,0.875
Dwayne Allen,TE,TE,129.0,139.90000000000001,8.2895833333300004,132.633333333,10,-0.44583333333999953,0.80625000000000036
Josh Brown,K,K,115.0,126.0,7.4166666666700003,118.666666667,11,-0.4583333333299997,0.27083333334000059
Robbie Gould,K,K,115.0,124.0,7.375,118.0,7,-0.5,0.2291666666700003
Graham Gano,K,K,115.0,124.0,7.375,118.0,5,-0.5,0.2291666666700003
Torrey Smith,WR,WR,199.90000000000001,175.5,11.985416666700001,191.76666666700001,10,-0.52499999999999858,3.1187500000300012
LeGarrette Blount,RB,RB,150.59999999999999,148.19999999999999,9.3625000000000007,149.80000000000001,4,-0.5625,4.8541666666700003
Antonio Gates,TE,TE,134.59999999999999,122.59999999999999,8.1624999999999996,130.59999999999999,10,-0.5729166666700003,0.67916666666999959
Owen Daniels,TE,TE,127.5,135.59999999999999,8.1374999999999993,130.19999999999999,7,-0.59791666667000065,0.65416666666999923
Larry Donnell,TE,TE,125.7,138.30000000000001,8.1187500000000004,129.90000000000001,11,-0.61666666666999959,0.6354166666700003
Randy Bullock,K,K,112.0,124.0,7.25,116.0,9,-0.625,0.1041666666700003
Dustin Hopkins,K,K,112.0,124.0,7.25,116.0,9,-0.625,0.1041666666700003
Julius Thomas ,TE,TE,129.0,131.09999999999999,8.1062499999999993,129.69999999999999,8,-0.62916666667000065,0.62291666666999923
Isaiah Crowell,RB,RB,152.90000000000001,140.40000000000001,9.2958333333300001,148.73333333299999,11,-0.62916666667000065,4.7874999999999996
Eddie Royal,WR,WR,200.0,169.90000000000001,11.8729166667,189.966666667,7,-0.63749999999999929,3.0062500000300005
Nick Folk,K,K,109.0,128.0,7.2083333333299997,115.333333333,5,-0.6666666666700003,0.0625
Chiefs D ST D ST,Def,DEF,120.0,80.0,6.6666666666700003,106.666666667,9,-0.72916666665999941,0.58333333334000059
Sebastian Janikowski,K,K,109.0,125.0,7.1458333333299997,114.333333333,6,-0.7291666666700003,0.0
Shane Vereen,RB,RB,140.0,158.09999999999999,9.1270833333300008,146.033333333,11,-0.79791666666999994,4.6187500000000004
Buccaneers D ST D ST,Def,DEF,97.0,121.0,6.5625,105.0,6,-0.8333333333299997,0.4791666666700003
Danny Woodhead,RB,RB,136.5,162.5,9.0729166666700003,145.16666666699999,10,-0.85208333333000041,4.5645833333399999
Josh Hill,TE,TE,144.40000000000001,89.599999999999994,7.8833333333300004,126.133333333,11,-0.85208333333999953,0.40000000000000036
Colin Kaepernick,QB,QB,311.80000000000001,289.30000000000001,19.018750000000001,304.30000000000001,10,-0.86874999999999858,2.4895833333000006
Mike Nugent,K,K,107.0,122.0,7.0,112.0,7,-0.875,-0.1458333333299997
Cowboys D ST D ST,Def,DEF,107.0,98.0,6.5,104.0,6,-0.8958333333299997,0.4166666666700003
Giants D ST D ST,Def,DEF,96.0,117.0,6.4375,103.0,11,-0.9583333333299997,0.3541666666700003
Rueben Randle,WR,WR,184.19999999999999,185.30000000000001,11.5354166667,184.56666666699999,11,-0.97499999999999964,2.6687500000300002
Cairo Santos,K,K,104.0,123.0,6.8958333333299997,110.333333333,9,-0.9791666666700003,-0.25
Steelers D ST D ST,Def,DEF,106.0,94.0,6.375,102.0,11,-1.0208333333299997,0.2916666666700003
Tevin Coleman,RB,RB,130.59999999999999,161.90000000000001,8.8145833333300008,141.033333333,10,-1.1104166666699999,4.3062500000000004
Colts D ST D ST,Def,DEF,99.0,101.0,6.2291666666700003,99.666666666699996,10,-1.1666666666599994,0.14583333334000059
Michael Crabtree,WR,WR,189.80000000000001,162.90000000000001,11.302083333300001,180.83333333300001,6,-1.2083333333999988,2.435416666630001
Charles Clay,TE,TE,116.59999999999999,126.0,7.4833333333300001,119.733333333,8,-1.2520833333399999,0.0
Bears D ST D ST,Def,DEF,92.0,108.0,6.0833333333299997,97.333333333300004,7,-1.3125,0.0
Richard Rodgers,TE,TE,116.90000000000001,117.59999999999999,7.3208333333300004,117.133333333,7,-1.4145833333399995,-0.16249999999999964
Kai Forbath,K,K,96.0,118.0,6.4583333333299997,103.333333333,8,-1.4166666666700003,-0.6875
Rashad Jennings,RB,RB,130.80000000000001,145.09999999999999,8.4729166666700007,135.56666666699999,11,-1.4520833333300001,3.9645833333400002
Jeff Cumberland,TE,TE,125.09999999999999,99.099999999999994,7.2770833333300002,116.43333333299999,5,-1.4583333333399997,-0.20624999999999982
Josh Scobee,K,K,89.0,126.0,6.3333333333299997,101.333333333,8,-1.5416666666700003,-0.8125
Ryan Succop,K,K,93.0,117.0,6.3125,101.0,6,-1.5625,-0.8333333333299997
Falcons D ST D ST,Def,DEF,91.0,97.0,5.8125,93.0,10,-1.5833333333299997,-0.2708333333299997
Teddy Bridgewater,QB,QB,296.60000000000002,283.80000000000001,18.270833333300001,292.33333333299998,5,-1.6166666666999987,1.7416666666000005
Percy Harvin,WR,WR,188.69999999999999,144.09999999999999,10.864583333300001,173.83333333300001,8,-1.6458333333999988,1.997916666630001
Titans D ST D ST,Def,DEF,86.0,103.0,5.7291666666700003,91.666666666699996,4,-1.6666666666599994,-0.35416666665999941
Saints D ST D ST,Def,DEF,93.0,89.0,5.7291666666700003,91.666666666699996,11,-1.6666666666599994,-0.35416666665999941
Andy Dalton,QB,QB,297.30000000000001,278.10000000000002,18.181249999999999,290.89999999999998,7,-1.7062500000000007,1.6520833332999985
Jaguars D ST D ST,Def,DEF,89.0,95.0,5.6875,91.0,8,-1.7083333333299997,-0.3958333333299997
Redskins D ST D ST,Def,DEF,86.0,99.0,5.6458333333299997,90.333333333300004,8,-1.75,-0.4375
Travis Coons,K,K,90.0,113.0,6.1041666666700003,97.666666666699996,11,-1.7708333333299997,-1.0416666666599994
Alfred Blue,RB,RB,145.69999999999999,98.900000000000006,8.1312499999999996,130.09999999999999,9,-1.7937500000000011,3.6229166666699992
Devin Funchess,WR,WR,167.0,179.09999999999999,10.6895833333,171.033333333,5,-1.8208333333999995,1.8229166666300003
Charles Sims,RB,RB,125.5,135.09999999999999,8.0437499999999993,128.69999999999999,6,-1.8812500000000014,3.5354166666699989
Martavis Bryant,WR,WR,187.5,134.69999999999999,10.61875,169.90000000000001,11,-1.8916666666999991,1.7520833333300008
Ryan Mathews,RB,RB,129.5,125.0,8.0,128.0,10,-1.9250000000000007,3.4916666666699996
Reggie Bush,RB,RB,132.80000000000001,117.2,7.9749999999999996,127.59999999999999,10,-1.9500000000000011,3.4666666666699992
Nelson Agholor,WR,WR,159.59999999999999,186.19999999999999,10.5291666667,168.466666667,8,-1.9812499999999993,1.6625000000300005
Charles Johnson,WR,WR,163.30000000000001,178.09999999999999,10.514583333299999,168.23333333299999,5,-1.9958333334000002,1.6479166666299996
James White,RB,RB,130.90000000000001,118.7,7.9270833333299997,126.833333333,4,-1.997916666670001,3.4187499999999993
David Johnson,RB,RB,132.30000000000001,115.59999999999999,7.9208333333300001,126.733333333,9,-2.0041666666700007,3.4124999999999996
Mychal Rivera,TE,TE,117.2,88.200000000000003,6.7208333333299999,107.533333333,6,-2.0145833333400001,-0.76250000000000018
Darren Sproles,RB,RB,129.69999999999999,116.0,7.8208333333300004,125.133333333,8,-2.1041666666700003,3.3125
Doug Baldwin,WR,WR,162.5,174.5,10.40625,166.5,9,-2.1041666666999994,1.5395833333300004
