RNK,PLAYER,TYPE,ACTION,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS,
95,"Jermaine Kearse, Sea WR",FA,,0/0,0,0,0,0,0,0,23.2,320.7,2.7,48.3,42.4
96,"Chad Williams, Ari WR",FA,,0/0,0,0,0,0,0,0,25.7,337.8,2,45.6,41
97,"Adam Humphries, TB WR",FA,,0/0,0,0,0,4,25.6,0.1,29.6,310.4,1.7,45.3,40
98,"Phillip Dorsett, Ind WR",FA,,0/0,0,0,0,1.9,11.7,0.1,23.4,315.4,2,44.8,39.5
99,"Ricardo Louis, Cle WR",FA,,0/0,0,0,0,0,0,0,29.5,337.9,1.3,41.6,39.2
100,"Brandon Coleman, NO WR",FA,,0/0,0,0,0,0,0,0,19.8,265.7,2.2,39.6,38.4
101,"Chris Godwin, TB WRBreaking News",FA,,0/0,0,0,0,0,0,0,20.8,246.6,1.7,34.7,32.8
102,"Malcolm Mitchell, NE WRRecent News",ALES,,0/0,0,0,0,0,0,0,18.8,234.9,1.8,34.4,32.4
103,"Jaron Brown, Ari WR  Q",FA,,0/0,0,0,0,0,0,0,17.8,239.1,1.4,32.3,30.9
104,"Michael Campanaro*, Bal WR  ORecent News",FA,,0/0,0,0,0,5.7,36,0.1,17.1,184.1,0.9,30.3,30.7
105,"Brice Butler, Dal WR",FA,,0/0,0,0,0,0,0,0,14.1,194.4,1.8,30.2,30.7
106,"Aldrick Robinson, SF WR",FA,,0/0,0,0,0,0,0,0,14.4,239.1,0.9,29.7,30.3
107,"Charone Peake, NYJ WR",FA,,0/0,0,0,0,0,0,0,20.3,232.2,1,29.1,29.5
108,"Corey Brown, Buf WR",FA,,0/0,0,0,0,0,0,0,16.8,219,1.1,28.5,29.5
109,"Kendall Wright, Chi WR",FA,,0/0,0,0,0,1.6,10.1,0,19.1,216.6,1,28.4,28.5
110,"Kamar Aiken, Ind WR",FA,,0/0,0,0,0,0,0,0,15.6,191.1,1.5,27.6,27.7
111,"Dontrelle Inman, LAC WR  Q",HAM,,0/0,0,0,0,0,0,0,15.1,202.1,1.1,26.8,27.6
112,"Cordarrelle Patterson, Oak WR",FA,,0/0,0,0,0,4.8,39.3,0.1,13.2,133,0.9,26.4,27.6
113,"Chester Rogers, Ind WR",FA,,0/0,0,0,0,0,0,0,14.2,177.9,1.4,26.4,27.5
114,"Taywan Taylor, Ten WR",FA,,0/0,0,0,0,0,0,0,14.7,183.3,1.3,26.2,27.4
115,"Josh Reynolds, LAR WR",FA,,0/0,0,0,0,0,0,0,15.4,207.9,0.9,26,26.8
116,"Mike Williams*, LAC WR  OBreaking News",FA,,0/0,0,0,0,0,0,0,13.1,174.2,1.4,25.8,26.2
117,"Justin Hardy, Atl WR",FA,,0/0,0,0,0,0,0,0,14.3,160.8,1.5,25.2,25.8
118,"JuJu Smith-Schuster, Pit WR  QBreaking News",FA,,0/0,0,0,0,0,0,0,14.1,172.3,1.3,25.1,24.9
119,"Trent Taylor, SF WR",FA,,0/0,0,0,0,1.9,11.6,0,13.4,173,0.7,24.4,23.3
120,"Russell Shepard, Car WR",FA,,0/0,0,0,0,0,0,0,11.8,166.8,1,22.7,23.2
121,"Dede Westbrook, Jax WR",FA,,0/0,0,0,0,0,0,0,13.3,160.9,0.9,22,21.6
