RNK,PLAYER,TYPE,ACTION,    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS,
82,"Ifeanyi Momah, Ari TE  Q",FA,,0/0,0,0,0,0,0,0,4,43.4,0.3,6.4,5.8
83,"Michael Roberts, Det TE",FA,,0/0,0,0,0,0,0,0,3.9,41.7,0.4,6.4,5.6
84,"David Johnson, Pit TE",FA,,0/0,0,0,0,0,0,0,3.8,39.7,0.4,6.1,5.4
85,"Garrett Celek, SF TE",FA,,0/0,0,0,0,0,0,0,3.6,41.5,0.2,5.5,5
86,"Nick Vannett, Sea TE",FA,,0/0,0,0,0,0,0,0,3.3,34.1,0.3,5.4,5
87,"MarQueis Gray, Mia TE",FA,,0/0,0,0,0,0,0,0,3.3,33,0.3,5.4,5
88,"Ben Braunecker, Chi TE",FA,,0/0,0,0,0,0,0,0,3.3,32.4,0.3,4.8,4.9
89,"Ross Travis, KC TE",FA,,0/0,0,0,0,0,0,0,3.4,33.2,0.2,4.8,4.4
90,"Michael Hoomanawanui, NO TE",FA,,0/0,0,0,0,0,0,0,2.2,23,0.2,3.8,3.5
91,"Joshua Perkins, Atl TE",FA,,0/0,0,0,0,0,0,0,1.9,19.3,0.2,3.2,3.4
92,"Niles Paul, Wsh TE",FA,,0/0,0,0,0,0,0,0,2,22,0.1,3.1,3.4
93,"Will Tye, NYG TE",FA,,0/0,0,0,0,0,0,0,2,20.3,0.2,3,3.3
94,"Sean McGrath, LAC TE",FA,,0/0,0,0,0,0,0,0,1.8,19,0.2,3,2.8
95,"Luke Stocker, TB TE",FA,,0/0,0,0,0,0,0,0,1.9,18.5,0.2,2.9,2.6
96,"Geoff Swaim, Dal TE  Q",FA,,0/0,0,0,0,0,0,0,1.7,17.4,0.2,2.7,2.6
97,"Rico Darnell Gathers, Dal TE",FA,,0/0,0,0,0,0,0,0,1.7,17.4,0.2,2.7,1.6
98,"Phillip Supernaw, Ten TE",FA,,0/0,0,0,0,0,0,0,1.6,16.4,0.2,2.6,
99,"Neal Sterling, Jax TE",FA,,0/0,0,0,0,0,0,0,1.8,18,0.1,2.6,
100,"Tyler Kroft, Cin TE  Q",FA,,0/0,0,0,0,0,0,0,1.8,17.2,0.1,2.6,
101,"Randall Telfer, Cle TE",FA,,0/0,0,0,0,0,0,0,1.8,17.9,0.1,2.4,
102,"Brian Parker, NYJ TE",FA,,0/0,0,0,0,0,0,0,0.9,9.5,0.1,1.3,
